num_single_quote_error,num_spacing_error,num_social_media_handles,num_urls_text,num_twitter_post_urls,number_of_hastags,num_of_absence_of_space_after_sentence_completion,num_capitalized_words,num_of_absence_capitalization_after_full_stop,num_of_words_of_pattern_2017word,num_mispelled_words,label
7,6,0,0,0,0,4,2,2,0,14,0
12,6,1,1,0,0,3,6,1,0,25,0
3,11,5,0,2,4,8,12,4,0,23,0
0,3,0,0,0,0,0,2,0,0,4,1
0,2,0,0,0,0,2,0,0,0,8,0
0,4,0,0,0,0,4,7,1,0,27,1
1,1,0,0,0,0,0,4,0,0,10,1
4,4,0,0,0,0,4,14,3,0,32,1
0,3,0,0,0,0,0,0,0,0,1,0
10,17,4,0,1,0,5,2,4,3,16,0
6,9,2,1,0,1,4,2,1,0,13,0
1,2,0,0,0,0,0,2,0,0,9,1
7,12,0,0,0,0,10,5,0,0,12,0
18,39,0,0,0,0,14,10,2,0,21,0
15,67,0,0,0,0,3,4,3,0,35,1
8,10,0,0,0,0,2,17,0,0,18,0
33,29,0,0,0,0,1,4,0,0,47,1
0,3,4,0,0,4,5,30,3,0,25,1
0,1,0,0,0,0,0,5,0,0,1,1
0,2,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,0,3,3,1,0,8,1
0,2,0,0,0,0,3,5,0,0,8,1
8,9,1,0,1,3,9,4,2,0,18,0
11,10,0,0,0,0,6,40,2,0,21,0
0,2,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,7,0,0,10,1
0,3,0,0,0,0,1,8,2,0,10,1
4,16,0,0,0,0,0,12,1,0,18,1
3,13,2,0,1,4,3,12,2,1,14,0
3,6,0,0,0,0,6,1,0,0,2,0
1,15,0,0,0,0,4,4,0,0,6,0
3,4,0,0,0,0,4,0,0,0,5,0
0,2,0,0,0,0,0,2,0,0,1,1
4,12,0,0,0,0,0,5,1,0,10,1
11,11,0,0,0,0,8,2,0,0,13,0
1,8,1,0,1,0,4,0,3,0,4,0
18,18,0,0,0,0,4,5,2,0,21,0
5,27,0,0,0,0,0,16,1,0,26,1
0,6,1,0,0,0,3,3,1,0,11,1
3,10,0,0,0,0,6,2,1,0,6,0
2,2,1,0,0,0,3,14,0,0,13,0
5,30,0,0,0,0,0,55,0,0,20,1
9,20,0,0,0,0,4,11,1,0,34,1
5,3,0,0,0,0,0,3,0,0,7,1
21,17,2,0,0,0,11,4,0,0,27,0
7,10,0,0,0,0,8,13,1,0,15,0
5,5,0,0,0,0,2,19,2,0,5,0
0,1,0,0,0,0,0,3,0,0,0,1
6,3,0,0,0,0,7,2,0,0,24,0
2,18,1,0,0,3,4,49,1,0,18,0
0,1,0,0,0,0,0,4,0,0,2,1
0,3,0,0,0,0,0,7,1,0,2,0
5,15,0,0,0,0,4,5,0,0,22,0
0,1,0,0,0,0,0,0,0,0,1,0
3,6,1,0,1,0,3,0,5,0,11,0
0,2,0,0,0,0,2,3,0,0,10,1
0,12,0,0,0,0,16,8,0,0,7,1
1,1,0,0,0,0,1,1,0,0,2,0
3,12,0,0,0,0,2,0,0,0,12,0
7,12,16,1,1,1,14,10,4,8,28,0
6,22,0,0,0,0,14,18,0,0,22,0
0,3,0,0,0,0,4,9,6,0,10,1
14,22,0,0,0,0,0,1,0,0,11,1
