num_single_quote_error,num_spacing_error,num_social_media_handles,num_urls_text,num_twitter_post_urls,number_of_hastags,num_of_absence_of_space_after_sentence_completion,num_capitalized_words,num_of_absence_capitalization_after_full_stop,num_of_words_of_pattern_2017word,num_mispelled_words
0,4,0,0,0,0,2,9,3,0,9
0,1,0,0,0,0,5,7,1,1,6
0,9,0,0,0,0,2,4,0,0,2
0,1,0,0,0,0,0,4,2,0,13
0,12,0,0,0,0,13,14,1,1,14
0,2,0,0,0,0,3,13,1,0,12
0,1,0,0,0,0,0,10,3,1,4
0,3,4,0,0,0,4,6,3,1,6
0,3,3,0,0,0,4,12,3,0,4
0,1,0,0,0,0,0,3,0,0,1
0,4,0,0,0,0,1,4,0,0,2
0,13,0,0,0,0,2,16,1,0,20
0,3,3,0,0,0,3,5,2,0,5
0,4,6,0,0,1,6,10,5,0,12
0,23,0,0,0,0,3,7,0,0,22
0,5,0,0,0,0,3,3,0,0,12
0,2,0,0,0,0,2,7,10,0,29
0,3,4,0,0,0,4,19,2,0,11
0,5,0,0,0,0,0,10,2,0,8
0,2,0,0,0,0,0,13,1,0,18
0,2,0,0,0,0,0,13,5,0,10
0,16,0,0,0,0,16,9,4,0,4
0,1,0,0,0,0,1,8,3,0,6
0,1,0,0,0,0,0,8,1,1,9
1,22,0,0,0,0,2,4,0,0,41
0,7,0,0,0,0,2,4,1,0,6
0,20,0,0,0,0,1,10,3,0,4
0,3,3,0,0,0,4,13,2,0,8
0,1,0,0,0,0,0,3,1,0,0
0,4,0,0,0,0,1,3,1,0,8
0,1,0,0,0,0,2,1,0,0,1
0,5,1,0,0,0,3,3,1,0,3
0,2,0,0,0,0,0,3,1,0,4
0,5,0,0,0,0,0,6,2,0,3
0,2,0,0,0,0,4,8,2,0,26
0,6,0,0,0,0,4,6,2,0,4
0,1,0,0,0,0,4,3,0,0,4
0,5,0,0,0,0,2,2,0,0,6
0,4,0,0,0,0,2,10,1,0,4
0,1,0,0,0,0,0,3,1,0,3
0,3,4,0,0,0,3,15,2,0,8
0,2,0,0,0,0,0,3,0,0,3
0,7,0,0,0,0,2,12,1,0,12
0,1,0,0,0,0,0,3,0,0,1
0,3,0,0,0,0,3,4,1,0,12
0,2,0,0,0,0,1,6,2,0,5
0,3,0,0,0,0,5,21,6,0,16
0,5,0,0,0,0,0,9,4,0,9
0,1,0,0,0,0,0,4,1,0,1
0,2,0,0,0,0,2,9,4,0,7
0,2,0,0,0,0,0,4,0,0,1
0,1,0,0,0,0,6,7,2,0,18
0,8,0,0,0,0,3,6,3,0,19
0,5,0,0,0,0,0,10,4,0,5
0,3,0,0,0,0,0,5,0,0,16
0,2,0,0,0,0,0,10,2,0,4
0,1,0,0,0,0,0,2,0,0,10
0,2,0,0,0,0,0,3,0,0,1
0,1,0,0,0,0,6,3,1,0,2
0,6,0,0,0,0,2,13,2,0,15
0,3,0,0,0,0,2,11,1,0,11
0,1,0,0,0,0,1,4,3,0,10
0,24,0,0,0,0,4,3,0,0,13
0,3,0,0,0,0,2,0,0,0,10
0,10,0,0,0,0,4,12,1,0,17
0,1,0,0,0,0,1,10,2,0,25
0,19,0,0,0,0,8,4,1,0,15
0,4,0,0,0,0,3,1,0,0,14
0,2,0,0,0,0,1,7,1,0,14
0,2,0,0,0,0,1,3,1,0,0
0,4,4,0,0,1,3,19,2,0,10
0,6,0,0,0,0,6,53,7,0,15
0,1,0,0,0,0,1,2,0,0,0
0,1,0,0,0,0,0,3,0,0,2
0,1,0,0,0,0,4,2,2,1,17
0,6,0,0,0,0,13,10,6,0,21
0,7,0,0,0,0,6,18,4,1,21
0,4,0,0,0,0,3,5,2,0,19
0,3,0,0,0,0,0,12,2,0,21
0,5,0,0,0,0,2,4,0,0,10
0,1,0,0,0,0,0,4,1,0,4
0,2,0,0,0,0,0,2,0,0,7
0,3,0,0,0,0,0,2,0,0,0
0,10,0,0,0,0,2,15,4,0,16
0,1,0,0,0,0,0,2,0,0,1
0,6,0,0,0,0,17,86,2,0,21
0,1,0,0,0,0,0,3,1,0,1
0,7,0,0,0,0,3,2,0,0,6
0,4,0,0,0,0,0,3,0,0,2
0,1,0,0,0,0,0,4,0,0,5
0,1,1,0,0,0,0,3,0,0,2
0,1,0,0,0,0,0,4,1,0,1
0,13,0,0,0,0,1,7,3,0,7
0,6,0,0,0,0,2,9,0,0,5
0,6,0,0,0,0,2,3,0,0,8
0,1,0,0,0,0,2,2,0,0,1
0,8,0,0,0,0,1,3,0,0,7
0,4,5,0,0,0,9,45,10,0,17
0,1,0,0,0,0,4,7,2,0,18
0,1,0,0,0,0,2,8,0,0,11
0,3,0,0,0,0,0,14,1,0,21
0,26,0,0,0,0,3,22,15,0,8
0,1,0,0,0,0,0,2,0,0,0
0,5,0,0,0,0,3,15,6,0,10
0,1,0,0,0,0,0,3,1,0,0
0,1,0,0,0,0,1,3,2,0,1
0,1,0,0,0,0,0,5,0,0,9
0,1,0,0,0,0,0,3,0,0,1
0,2,0,0,0,0,13,10,5,0,14
0,10,0,0,0,0,6,44,6,0,12
0,1,0,0,0,0,1,4,2,0,4
0,6,0,0,0,0,0,5,2,0,3
0,2,0,0,0,0,1,3,0,0,2
0,7,0,0,0,0,0,6,3,0,6
0,9,0,0,0,0,6,6,2,0,8
0,1,0,0,0,0,0,3,0,0,0
0,1,0,0,0,0,1,3,2,0,0
0,7,0,0,0,0,3,14,1,0,14
0,2,0,0,0,0,1,2,0,0,1
0,9,0,0,0,0,2,7,0,0,5
0,14,0,0,0,0,0,2,0,0,9
0,2,0,0,0,0,0,4,3,0,2
0,5,3,0,0,2,3,23,2,0,11
0,2,0,0,0,0,5,11,0,0,5
0,13,0,0,0,0,0,13,0,0,15
0,1,0,0,0,0,3,16,0,0,13
0,5,0,0,0,0,1,3,1,0,10
0,4,0,0,0,0,1,6,0,0,14
0,5,0,0,0,0,2,7,1,0,4
0,6,0,0,0,0,0,5,1,0,10
0,2,0,0,0,0,0,2,0,0,0
0,1,0,0,0,0,1,1,0,0,5
0,1,0,0,0,0,0,2,0,0,2
0,1,0,0,0,0,1,3,1,0,1
0,1,0,0,0,0,0,3,0,0,2
0,3,0,0,0,0,1,14,2,0,16
0,1,0,0,0,0,3,10,2,0,12
0,6,0,0,0,0,1,4,1,0,0
0,14,0,0,0,0,4,7,0,0,11
0,4,0,0,0,0,4,3,2,0,15
0,6,4,0,0,0,3,16,2,0,12
0,25,0,0,0,0,2,3,0,0,14
0,2,1,0,0,0,4,13,3,0,10
0,4,0,0,0,0,3,29,1,0,9
0,4,0,0,0,0,4,2,0,0,1
0,4,0,0,0,0,2,2,0,0,8
0,1,0,0,0,0,3,3,1,0,2
0,16,0,0,0,0,13,20,5,0,16
0,5,0,0,0,0,6,2,1,0,12
0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,1,0,0,2
0,1,0,0,0,0,1,2,0,0,1
0,2,0,0,0,0,0,9,1,0,11
0,1,0,0,0,0,1,3,0,0,1
0,1,0,0,0,0,0,2,0,0,2
0,2,0,0,0,0,2,6,0,0,15
0,2,0,0,0,0,2,5,4,0,15
0,9,0,0,0,0,0,5,2,0,10
0,3,0,0,0,0,5,5,3,0,7
0,2,0,0,0,0,1,2,0,0,2
0,1,0,0,0,0,1,5,3,0,5
0,12,0,0,0,0,3,11,1,0,12
0,11,0,0,0,0,7,7,1,0,13
0,18,0,0,0,0,6,4,1,0,12
0,2,0,0,0,0,0,5,5,0,0
0,4,0,0,0,0,3,28,1,0,9
0,4,0,0,0,0,3,28,1,0,9
0,3,0,0,0,0,4,3,1,0,9
0,2,0,0,0,0,0,2,0,0,2
